"relative href","rounded-lg src","flex-shrink","truncate","text-primary","text-primary href"
"https://lovable.dev/projects/1cfdc451-0886-41ec-bbaf-23ba08fdcb71","https://lovable.dev/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fgpt-engineer-screenshots%2Fid-preview-ca5e7146--1cfdc451-0886-41ec-bbaf-23ba08fdcb71.lovable.app-1740688988472.png&w=3840&q=75","stickman-style-swap","by","@k0G6B5cx0pTTsyDONmX1HBsBASB3","https://lovable.dev/@k0G6B5cx0pTTsyDONmX1HBsBASB3"
"https://lovable.dev/projects/fafe259a-ff46-45f0-812e-1c598bf4b505","https://lovable.dev/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fgpt-engineer-screenshots%2Fid-preview-9f7a1ab8--fafe259a-ff46-45f0-812e-1c598bf4b505.lovable.app-1740673074305.png&w=3840&q=75","characterforge-imagix","by","@NbgJX23vE7OqDkj8AyNQafhECC23","https://lovable.dev/@NbgJX23vE7OqDkj8AyNQafhECC23"
"https://lovable.dev/projects/726068bb-0656-45c6-88cc-160399191a08","https://lovable.dev/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fgpt-engineer-screenshots%2Fid-preview-a924f3c4--726068bb-0656-45c6-88cc-160399191a08.lovable.app-1740585596100.png&w=3840&q=75","indexia","by","@dLxPg73j98cVjetCH4qIM4sIR1z1","https://lovable.dev/@dLxPg73j98cVjetCH4qIM4sIR1z1"
"https://lovable.dev/projects/c21a2a5f-9177-4f2d-b1ac-4fcd7c31f3a3","https://lovable.dev/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fgpt-engineer-screenshots%2Fid-preview-47dcbd61--c21a2a5f-9177-4f2d-b1ac-4fcd7c31f3a3.lovable.app-1740582710100.png&w=3840&q=75","browser-pokebattle-adventure","by","@5dIlRVQYKeUo0nsHQkjmqtCRkAC3","https://lovable.dev/@5dIlRVQYKeUo0nsHQkjmqtCRkAC3"
"https://lovable.dev/projects/ec05ba79-234e-4be5-a727-83aee50417dc","https://lovable.dev/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fgpt-engineer-screenshots%2Fid-preview-0756615c--ec05ba79-234e-4be5-a727-83aee50417dc.lovable.app-1740495647726.png&w=3840&q=75","sleekbloghaven","by","@NbgJX23vE7OqDkj8AyNQafhECC23","https://lovable.dev/@NbgJX23vE7OqDkj8AyNQafhECC23"
"https://lovable.dev/projects/9736c260-e35f-4b8d-8c12-ab82cbf3e387","https://lovable.dev/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fgpt-engineer-screenshots%2Fid-preview-bb393960--9736c260-e35f-4b8d-8c12-ab82cbf3e387.lovable.app-1740296046017.png&w=3840&q=75","ai-fitmind-care","by","@7FVOR0kSz6RPXP1uNBrHQCBZC2t2","https://lovable.dev/@7FVOR0kSz6RPXP1uNBrHQCBZC2t2"
"https://lovable.dev/projects/9812385d-ded2-42e3-b0c6-e10a268e01b5","https://lovable.dev/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fgpt-engineer-screenshots%2Fid-preview-54950368--9812385d-ded2-42e3-b0c6-e10a268e01b5.lovable.app-1733397305283.png&w=3840&q=75","bitboard","by","@eml","https://lovable.dev/@eml"
"https://lovable.dev/projects/be32eabe-dcdc-4daa-993f-6556b1e295f2","https://lovable.dev/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fgpt-engineer-screenshots%2Fid-preview-7c0aef55--be32eabe-dcdc-4daa-993f-6556b1e295f2.lovable.app-1740261390069.png&w=3840&q=75","deepseekify","by","@NbgJX23vE7OqDkj8AyNQafhECC23","https://lovable.dev/@NbgJX23vE7OqDkj8AyNQafhECC23"
"https://lovable.dev/projects/aa279978-3c9a-4234-aa0f-786f66eac3bb","https://lovable.dev/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fgpt-engineer-screenshots%2Fid-preview-4d6db421--aa279978-3c9a-4234-aa0f-786f66eac3bb.lovable.app-1740238160898.png&w=3840&q=75","ai-medico","by","@s20wKVfkS9eRZNNRYjbcBZGJ7LD3","https://lovable.dev/@s20wKVfkS9eRZNNRYjbcBZGJ7LD3"
"https://lovable.dev/projects/0221dbd6-3834-4361-8f48-e2ee0a03835d","https://lovable.dev/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fgpt-engineer-screenshots%2Fid-preview--0221dbd6-3834-4361-8f48-e2ee0a03835d.lovable.app-1740237810094.png&w=3840&q=75","mindful-self-quest","by","@rx7RZ8j5UiPUvPOgHJnpiy20RYU2","https://lovable.dev/@rx7RZ8j5UiPUvPOgHJnpiy20RYU2"
"https://lovable.dev/projects/8d9f7020-97f6-4cf7-90ae-41252a34d3b3","https://lovable.dev/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fgpt-engineer-screenshots%2Fid-preview-982c3be7--8d9f7020-97f6-4cf7-90ae-41252a34d3b3.lovable.app-1740071945826.png&w=3840&q=75","hero-optimizer-travel","by","@harrymckayroper","https://lovable.dev/@harrymckayroper"
"https://lovable.dev/projects/b305cd02-581b-424b-a241-95403776a93e","","animus-code-echo","by","@pKf3I3T2nCZqXo0n1qhXewJTt6I3","https://lovable.dev/@pKf3I3T2nCZqXo0n1qhXewJTt6I3"
"https://lovable.dev/projects/3d5ef646-34d6-4196-8cda-ac31c7eb12be","https://lovable.dev/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fgpt-engineer-screenshots%2Fid-preview-b7c040d4--3d5ef646-34d6-4196-8cda-ac31c7eb12be.lovable.app-1738029013015.png&w=3840&q=75","ai-visionary-capture","by","@giebG4HIusa0YEgXtDC4JpvALnz1","https://lovable.dev/@giebG4HIusa0YEgXtDC4JpvALnz1"
