"relative href","rounded-lg src","flex-shrink","truncate","text-primary","text-primary href"
"https://lovable.dev/projects/7f7b2fe3-90f9-4dac-80b3-cfa095cd158a","https://lovable.dev/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fgpt-engineer-screenshots%2Fid-preview-db2495c4--7f7b2fe3-90f9-4dac-80b3-cfa095cd158a.lovable.app-1737645852746.png&w=3840&q=75","fixie-screenshot-simulator","Edited","about 1 month ago",""
"https://lovable.dev/projects/19dc9d01-c411-4521-807d-ec440c67dbcf","https://lovable.dev/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fgpt-engineer-screenshots%2Fid-preview-0edb073e--19dc9d01-c411-4521-807d-ec440c67dbcf.lovable.app-1737583469659.png&w=3840&q=75","chatbot-haven-verse","Edited","about 1 month ago",""
"https://lovable.dev/projects/2db1ed7a-e1d3-4904-bbfe-4db134d25328","https://lovable.dev/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fgpt-engineer-screenshots%2Fid-preview-845fba12--2db1ed7a-e1d3-4904-bbfe-4db134d25328.lovable.app-1737503250611.png&w=3840&q=75","ai-blockchain-workflow","Edited","about 1 month ago",""
"https://lovable.dev/projects/20cf3e9e-97f8-4952-952b-d1c410d78edc","https://lovable.dev/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fgpt-engineer-screenshots%2Fid-preview-956f95f7--20cf3e9e-97f8-4952-952b-d1c410d78edc.lovable.app-1737320881365.png&w=3840&q=75","pedalplayground","Edited","about 2 months ago",""
"https://lovable.dev/projects/bbaccbdb-c2ae-44af-8355-e65049a4b211","https://lovable.dev/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fgpt-engineer-screenshots%2Fid-preview-0c7fba75--bbaccbdb-c2ae-44af-8355-e65049a4b211.lovable.app-1737304526160.png&w=3840&q=75","llm-collection-catalog","Edited","about 2 months ago",""
"https://lovable.dev/projects/d8ce4535-931f-42b7-a4db-03ae047945e8","","wp-harmony-manager","Edited","about 2 months ago",""
"https://lovable.dev/projects/8830aa64-4b35-458f-b77f-1f37bbf4eb31","","fixierun-ethos","Edited","about 2 months ago",""
"https://lovable.dev/projects/b3549044-4b5c-488c-961b-8fd9dae26373","https://lovable.dev/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fgpt-engineer-screenshots%2Fid-preview-593974e0--b3549044-4b5c-488c-961b-8fd9dae26373.lovable.app-1736874941809.png&w=3840&q=75","pedal-nft-revolution-67","Edited","about 2 months ago",""
"https://lovable.dev/projects/b172063a-f1d0-43a7-ba4d-ac5cd8737e0c","https://lovable.dev/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fgpt-engineer-screenshots%2Fid-preview-ddc5fd2d--b172063a-f1d0-43a7-ba4d-ac5cd8737e0c.lovable.app-1734765991405.png&w=3840&q=75","pedal-playground","Edited","about 2 months ago",""
"https://lovable.dev/projects/890a39ed-8646-4d78-a38e-90b0a0ddb3be","https://lovable.dev/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fgpt-engineer-screenshots%2Fid-preview-410bc757--890a39ed-8646-4d78-a38e-90b0a0ddb3be.lovable.app-1736834858308.png&w=3840&q=75","fixierun-rewards-cycling","Edited","about 2 months ago",""
